"PSLCODE 1250";"9 1";"4 2";"Source Access Key";"Target Access Key"
"EXTRACTED/100/0";"Foxit Account";"福昕账户";"";""
"EXTRACTED/101/0";"{ownerName} has invited you to join a Connected Review in the document ""{filename}"".";"{ownerName} 邀请您加入文档“{filename}”的审阅。";"";""
"EXTRACTED/102/0";"Invitation for review of the document ""{filename}""";"邀请审阅文档""{filename}""";"";""
"EXTRACTED/103/0";"The Register LINK";"注册链接";"";""
"EXTRACTED/104/0";"The following is a message from the initiator.";"如下是一条来自发起人的消息。";"";""
"EXTRACTED/105/0";"has invited you to join a review of the document ""{filename}"".";"已邀请您加入对文档“{filename}”的审阅。";"";""
"EXTRACTED/106/0";"more";"更多";"";""
"EXTRACTED/107/0";"OK";"确定";"";""
"EXTRACTED/108/0";"{ownerName} granted you permission(s) for {filename}";"{ownerName} 已经将文档“{filename}”的权限赋予给了您";"";""
"EXTRACTED/109/0";"{userName} requested permission(s) for {filename}";"{userName} 请求获取文档“{filename}”的权限";"";""
"EXTRACTED/110/0";"{userName} requested permission(s) for the file {filename}";"{userName} 请求获取文档“{filename}”的权限";"";""
"EXTRACTED/111/0";"{userName} requested the file {filename}";"{userName} 请求获取文件“{filename}”";"";""
"EXTRACTED/112/0";"{ownerName} granted your permissions for {filename}";"{ownerName} 已经将文档“{filename}”的权限赋予给了您";"";""
"EXTRACTED/113/0";"{ownerName} rejected your permissions for {filename}";"{ownerName} 已经拒绝了您对文档“{filename}”的权限请求";"";""
"EXTRACTED/114/0";"{ownerName} rejected your request for the file {filename}";"{ownerName} 已经拒绝了您对文档“{filename}”的请求";"";""
"EXTRACTED/115/0";"{filename} has been sent to you";"{filename} 已经发送给您";"";""
"EXTRACTED/116/0";"{ownerName} transferred the ownership of {filename} to you";"{ownerName} 将文档“{filename}”的所有权关系转移给了您";"";""
"EXTRACTED/117/0";"{userName} requested the permission(s) for {filename}";"{userName} 请求获取文件“{filename}”的权限";"";""
"EXTRACTED/118/0";"{ownerName} granted your homepage permissions for {filename}";"{ownerName} 已经将文档“{filename}”的主页权限赋予给了您";"";""
"EXTRACTED/119/0";"{ownerName} rejected you homepage permission for {filename}";"{ownerName} 已经拒绝了您对文档“{filename}”主页权限请求";"";""
"EXTRACTED/120/0";"{userName} shared a file and invited you to join comments ";"{userName} 共享了一个文件并邀请您加入评论 ";"";""
"EXTRACTED/121/0";"{userName} send feedback about {workflowName} workflow";"{userName} 发送了关于工作流“{workflowName}”的反馈";"";""
"EXTRACTED/122/0";"{userName} have created a new workflow for you to watch";"{userName} 已创建了一个新的要关注的工作流";"";""
"EXTRACTED/123/0";"{userName} have changed something in the ""{workflowName}""";"{userName} 已更改了工作流""{workflowName}""的某些信息";"";""
"EXTRACTED/124/0";"The workflow you watch have been changed ,and one of the task has been deleted by creator";"您关注的工作流已更改，且其中的一个任务已被创建者删除";"";""
"EXTRACTED/125/0";"{userName} have deleted the Workflow of ""{workflowName}""";"{userName} 已删除了工作流 “{workflowName}”";"";""
"EXTRACTED/126/0";"{userName} have assigned a task to you to finish";"{userName} 指派了一个要完成的任务给您";"";""
"EXTRACTED/127/0";"{userName} have changed the task of ""{taskName}""";"{userName} 已更改了""{taskName}""的任务";"";""
"EXTRACTED/128/0";"{userName} have deleted the task of ""{taskName}""";"{userName} 已删除了任务 ""{taskName}""";"";""
"EXTRACTED/129/0";"{userName} have resolved the task of ""{taskName}""";"{userName} 已解决了任务 ""{taskName}""";"";""
"EXTRACTED/130/0";"""{userName}"" invited you to review ""{filename}""";"“{userName}”邀请您审阅“{filename}”";"";""
"EXTRACTED/131/0";"""{userName}"" opened ""{filename}""";"“{userName}”打开了“{filename}”";"";""
"EXTRACTED/132/0";"""{userName}"" exited the review of ""{filename}""";"“{userName}”退出“{filename}”的审阅";"";""
"EXTRACTED/133/0";"""{userName}"" canceled sharing ""{filename}""";"“{userName}”取消共享“{filename}”";"";""
"EXTRACTED/134/0";"""{userName}"" deleted ""{filename}""";"“{userName}”删除了“{filename}”";"";""
"EXTRACTED/135/0";"Please use your Foxit enterprise account to log in.";"请使用您的福昕企业帐号登录。";"";""
"EXTRACTED/136/0";"If you do not have a Foxit enterprise account, please contact your administrator.";"如果您没有福昕企业帐号，请联系您的管理员。";"";""
"EXTRACTED/137/0";"The files have been removed or you don't have access. Contact the document owner to request access.";"该文件已被移除或您无权访问。 请联系文档所有者请求访问权限。";"";""
"EXTRACTED/138/0";"Prompt";"提示";"";""
"EXTRACTED/139/0";"The shared document has been removed. Please contact the owner.";"分享的文档已经移除了。请联系所有者。";"";""
"EXTRACTED/140/0";"Foxit Software [on behalf of {email}]";"福昕软件 [代表 {email}]";"";""
"EXTRACTED/141/0";"Mark all as read";"全部标记为已读";"";""
"EXTRACTED/142/0";"Notification";"通知";"";""
"EXTRACTED/143/0";"Delete all";"全部删除";"";""
"EXTRACTED/144/0";"mentioned you in a comment on ""{filename}"".";"在“{filename}”文件的评论中提到了您。";"";""
"EXTRACTED/145/0";"replied to a comment on ""{filename}"".";"回复了关于“{filename}”文件的评论。";"";""
"EXTRACTED/146/0";"""{userName}"" mentioned you on ""{filename}""";"“{userName}”在“{filename}”文件中提到了您。";"";""
"EXTRACTED/147/0";"""{userName}"" reply to a comment on ""{filename}""";"“{userName}”回复了关于“{filename}”文件的评论";"";""
"EXTRACTED/148/0";"""{userName}"" mentioned you in a comment on ""{filename}"".";"“{userName}” 在 “{filename}”文件的评论中提到了您。";"";""
"EXTRACTED/149/0";"""{userName}"" reply to a comment on ""{filename}"".";"“{userName}”回复了关于“{filename}”文件的评论。";"";""
"EXTRACTED/150/0";"View the comment";"查看评论";"";""
"EXTRACTED/151/0";"Your shared file ""{filename}"" has expired and reverted to the {storageService}.";"您的共享文件“{filename}”已过期并恢复到{storageService}。";"";""
"EXTRACTED/152/0";"The file ""{filename}"" shared by ""{userName}"" has expired.";"“{userName}”共享的文件“{filename}”已过期。";"";""
"EXTRACTED/153/0";"Sorry, this file has been removed from {storageService} or has been shared again.";"抱歉，该文件已从{storageService}中删除或已再次共享。";"";""
"EXTRACTED/154/0";"{email} via Foxit Software";"{email}来自福昕软件";"";""
"EXTRACTED/155/0";"Invitation for review of the document ""{filename} from Name({ownerName})""";"邀请审阅来自（{ownerName}）的文档""{filename}""";"";""
"EXTRACTED/156/0";"Message Notification";"消息通知";"";""
"EXTRACTED/157/0";"No Notifications";"没有通知";"";""
"EXTRACTED/158/0";"Click the notification menu button to view additional message actions.";"点击通知菜单按钮以查看其他消息操作。";"";""
"EXTRACTED/159/0";"Click the message to open the document";"点击消息以打开文档。";"";""
"EXTRACTED/160/0";"Click the More button to load additional information.";"点击“更多”按钮加载额外信息。";"";""
"EXTRACTED/161/0";"Anonymous#{code}";"匿名用户#{code}";"";""
"EXTRACTED/162/0";"Guest#{code}";"访客#{code}";"";""
"EXTRACTED/163/0";"Cloud Documents";"云文档";"";""
"EXTRACTED/164/0";"Foxit DMS";"Foxit DMS";"";""
"EXTRACTED/165/0";"Close";"关闭";"";""
"EXTRACTED/166/0";"Confirm";"确认";"";""
"EXTRACTED/167/0";"Cancel";"取消";"";""
"EXTRACTED/168/0";"Foxit";"福昕";"";""
"EXTRACTED/169/0";"Foxit Software";"福昕软件";"";""
"EXTRACTED/170/0";"Foxit Software Incorporated.";"福建福昕软件开发股份有限公司。";"";""
"EXTRACTED/171/0";"Foxit Software Incorporated";"福建福昕软件开发股份有限公司";"";""
"EXTRACTED/172/0";"Foxit Software Inc.";"福建福昕软件开发股份有限公司。";"";""
"EXTRACTED/173/0";"Fujian Fuxin Software Development Joint Stock Co., Ltd.";"福建福昕软件开发股份有限公司";"";""
"EXTRACTED/174/0";"Foxit PDF Reader";"福昕阅读器";"";""
"EXTRACTED/175/0";"Your Opinions Influence the Future Actions of Foxit PDF Editor Cloud";"您的意见将会影响福昕高级PDF编辑器网页版的未来";"";""
"EXTRACTED/176/0";"We have received a request to reset the password for your {org} account.";"我们收到了您要重置{org}账户密码的请求。";"";""
"EXTRACTED/177/0";"In the event you did not make this request, please notify us at {email}.";"如果您没有发出这个事件请求，请通过以下邮件地址通知我们 {email}。";"";""
"EXTRACTED/178/0";"The security of your account is, and will continue to be, important to us.";"您账户的安全将一直是我们最重要的事情。";"";""
"EXTRACTED/179/0";"Otherwise, please click on this link or copy and paste it into your browser to reset password:";"否则，请点击此链接或将其复制并粘贴到您的浏览器中以重置密码:";"";""
"EXTRACTED/180/0";"Thank you for using Foxit Software.";"感谢您使用福昕软件。";"";""
"EXTRACTED/181/0";"Sincerely,";"诚挚的，";"";""
"EXTRACTED/182/0";"Foxit Software Incorporated. All rights reserved.";"福昕软件公司。保留所有权利。";"";""
"EXTRACTED/183/0";"get control of your content";"管理您的内容";"";""
"EXTRACTED/184/0";"Learn more and get started:";"现在开始了解更多信息：";"";""
"EXTRACTED/185/0";"Please activate your Foxit account";"请激活您的福昕账户";"";""
"EXTRACTED/186/0";"Dear {email},";"尊敬的 {email},";"";""
"EXTRACTED/187/0";"Please click on the following link within the next 24 hours to activate your Foxit account.";"请在24小时内点击以下链接激活您的福昕账户。";"";""
"EXTRACTED/188/0";"With a verified Foxit account, you can access features such as trial downloads without registration, subscribing to Foxit PDF Editor, searching your orders, and more.";"福昕账户通过认证后，您可以享受更多功能，例如免注册下载，订阅福昕高级PDF编辑器，搜索您的订单，等等。";"";""
"EXTRACTED/189/0";"How we can help?";"您需要什么帮助？";"";""
"EXTRACTED/190/0";"Tel: {number1} or {number2}";"电话： {number1} 或 {number2}";"";""
"EXTRACTED/191/0";"Email:";"邮件：";"";""
"EXTRACTED/192/0";"Best Regards,";"致礼，";"";""
"EXTRACTED/193/0";"Dear Sir/Madam,";"尊敬的先生/女士，";"";""
"EXTRACTED/194/0";"Your account and related data have been deleted successfully.";"您的账户和相关数据已经被成功删除。";"";""
"EXTRACTED/195/0";"Your account and related data have been deleted successfully. If you need to log in to your current account again, please register again.";"您的账户和相关数据已成功删除。 如果您需要再次登录到当前账户，请重新注册。";"";""
"EXTRACTED/196/0";"Support";"支持";"";""
"EXTRACTED/197/0";"Foxit provides online and telephone support for current versions of the product.";"福昕为产品的当前版本提供在线和电话支持。";"";""
"EXTRACTED/198/0";"Online Support";"在线支持";"";""
"EXTRACTED/199/0";"Please report your issues from http://tickets.foxitsoftware.com/create.php. You need to indicate the product name (""Foxit Admin Console"") and the version number. If possible, please indicate your organization name in your email message for prompt response.";"请从https://www.foxitsoftware.cn/support.html报告您的问题。您需要指出产品名称和版本号，描述中加“福昕管理控制台”字样。 如果可能的话，请在电子邮件中指出您的组织名称，以便迅速回复。";"";""
"EXTRACTED/200/0";"Phone Support";"电话支持";"";""
"EXTRACTED/201/0";"Please call Foxit Technical Support at +1-866-MYFOXIT or +1-866-693-6948 (24/7 service).";"请联系福昕客服，电话：0591-38509808";"";""
"EXTRACTED/202/0";"How can we help?";"如何才能帮助您？";"";""
"EXTRACTED/203/0";"Tel: 1-866-MYFOXIT or 1-866-693-6948";"电话：0591-38509808";"";""
"EXTRACTED/204/0";"Please Verify Your Email Address";"请验证您的邮箱地址";"";""
"EXTRACTED/205/0";"Hello,";"您好，";"";""
"EXTRACTED/206/0";"Please click on the following link to activate your account, it's valid for 24 hours:";"请点击下面的链接激活您的账户，该链接24小时内有效。";"";""
"EXTRACTED/207/0";"With a verified Foxit account, you can access more features, such as trial downloads without registration, subscribing to Foxit PDF Editor, searching your orders, and more.";"福昕账户通过认证后，您可以享受更多功能，例如免注册下载，订阅福昕高级PDF编辑器，搜索您的订单，等等。";"";""
"EXTRACTED/208/0";"We have received a request to verify your {org} account.";"我们收到了一个要求验证您的 {org}账户的请求。";"";""
"EXTRACTED/209/0";"Otherwise, please click on this link or copy and paste it into your browser to create a password:";"否则，请点击链接或者复制并粘贴到您的浏览器中创建密码：";"";""
"EXTRACTED/210/0";"After creating a password, you can log in again to continue";"创建密码后，您可以再次登录以继续";"";""
"EXTRACTED/211/0";"Please verify your Foxit account";"请验证您的福昕账户";"";""
"EXTRACTED/212/0";"We have received a request to verify your Foxit account.";"我们收到了一个要求验证您的福昕账户的请求。";"";""
"EXTRACTED/213/0";"In the event you did not make this request, please notify us at support@foxit.com.The security of your account is, and will continue to be, important to us.";"如果您没有提出过该请求，请通过support@foxitsoftware.cn通知我们。您的账户安全对我们来说是非常重要的，而且将一直如此。";"";""
"EXTRACTED/214/0";"Otherwise, please click on this link or copy and paste it into your browser to verify your email:";"否则，请点击该链接或将其复制并粘贴到浏览器中以验证您的邮箱地址：";"";""
"EXTRACTED/215/0";"Hi {userName},";"嗨 {userName}，";"";""
"EXTRACTED/216/0";"Your free trial to {productName} has ended, but the Freemium plan is always available for you.";"您的{productName}免费试用期已结束，但您始终可以使用免费增值计划。";"";""
"EXTRACTED/217/0";"Your subscription to {productName} has expired, but the Freemium plan is always available for you.";"您的{productName}订阅已过期，但您始终可以使用免费增值计划。";"";""
"EXTRACTED/218/0";"Changes to your Document Storage:";"更改您的文档存储：";"";""
"EXTRACTED/219/0";"Due to the expiration of your trial, we will restore your Freemium Plan with 1GB Foxit PDF Editor Cloud Storage limit.";"由于您的试用期到期，我们将恢复您的免费增值计划，并提供1GB限制的福昕高级PDF编辑器云存储。";"";""
"EXTRACTED/220/0";"Due to the expiration of your subscription, we will restore your Freemium Plan with 1GB Foxit PDF Editor Cloud Storage limit.";"由于您的订阅到期，我们将恢复您的免费增值计划，并提供1GB限制的福昕高级PDF编辑器云存储。";"";""
"EXTRACTED/221/0";"You currently have over {num1}GB of files stored at Foxit.  Files will remain on our servers for {remainingDays} days. Thereafter, files from the oldest will be deleted until only {num1}GB remains.";"您目前在福昕存储了超过{num1}GB的文件。文件将在我们的服务器上保留{remainingDays}天。 此后，最旧的文件将被删除，直到{num1}GB。";"";""
"EXTRACTED/222/0";"It is recommended that you back up the document before it is automatically deleted. Alternatively, you can also manually delete the files that exceed {num1}GB to keep them all.";"建议您在文档被自动删除之前对其进行备份。或者，您也可以手动删除超过 1GB 的文件以保留所有文件。";"";""
"EXTRACTED/223/0";"Important update: Changes to {productName} permissions";"重要更新：{productName}权限变更";"";""
"EXTRACTED/224/0";"Your licenses to {productName} have expired, please purchase a new license or contact an administrator to activate your account.";"您的{productName}许可证已过期，请购买新许可证或联系管理员激活您的账户。";"";""
"EXTRACTED/225/0";"Due to expiration of the license, you will not be able to access any files stored in Cloud Documents. In addition, we will also stop the file you are collaborating on, and if it cannot be stopped, we will automatically delete this file.";"由于授权到期，您将无法访问存储在云文档中的任何文件。此外，我们还将停止您正在协作的文件，如果无法停止，我们将自动删除此文件。";"";""
"EXTRACTED/226/0";"Files stored in Cloud Documents will remain on our servers for {remainingDays} days and we will automatically delete all files after {remainingDays} days.";"存储在云文档中的文件将在我们的服务器上保留{remainingDays}天，我们将在{remainingDays}天后自动删除所有文件。";"";""
"EXTRACTED/227/0";"Open in Foxit PDF Editor Cloud";"在福昕高级PDF编辑器-网页版中打开";"";""
"EXTRACTED/228/0";"{userName} sent you a document to review.";"{userName}向您发送了一份文档供您审阅。";"";""
"EXTRACTED/229/0";"Or open with";"或者打开";"";""
"EXTRACTED/230/0";"Foxit PDF Editor for Desktop";"福昕高级PDF编辑器桌面版";"";""
"EXTRACTED/231/0";"Foxit PDF Editor for Mobile";"福昕高级PDF编辑器移动版";"";""
"EXTRACTED/232/0";"Foxit PDF Reader for Desktop ";"福昕阅读器桌面版";"";""
"EXTRACTED/233/0";"{userName} has invited you to join a review of the document ""{fileName}"".";"{userName}邀请您参加文档“{fileName}”的审阅。";"";""
"EXTRACTED/234/0";"DO NOT SHARE THIS EMAIL:";"不要分享此电子邮件：";"";""
"EXTRACTED/235/0";"Foxit PDF Editor Cloud";"福昕高级PDF编辑器-网页版";"";""
"EXTRACTED/236/0";"Foxit PDF Editor Windows";"福昕高级PDF编辑器-Windows版";"";""
"EXTRACTED/237/0";"Foxit PDF Editor Mac";"福昕高级PDF编辑器-Mac版";"";""
"EXTRACTED/238/0";"Foxit PDF Editor Mobile";"福昕高级PDF编辑器-移动版";"";""
"EXTRACTED/239/0";"Foxit PDF Editor +";"福昕高级PDF编辑器 +";"";""
"EXTRACTED/240/0";"Your subscription of {productName} has expired, but the Foxit PDF Editor plan is available for you.";"您的{productName}订阅已过期，但您可以选择福昕高级PDF编辑器计划。";"";""
"EXTRACTED/241/0";"Your subscription to {productName} has expired, but your new subscription is now active.";"您对{productName}的订阅已过期，但您的新订阅现在已激活。";"";""
"EXTRACTED/242/0";"Your licenses to {productName} have expired, but your new license is now active.";"您的 {productName} 许可已过期，但您的新许可现已激活。";"";""
"EXTRACTED/243/0";"Due to the expiration of your {productName} license, we will restore your plan with {num1}GB Foxit PDF Editor Cloud Storage limit.";"由于您的{productName}授权已过期，我们将恢复您的计划，带有{num1}GB福昕高级PDF编辑器云存储限制。";"";""
"EXTRACTED/244/0";"Due to the expiration of your {productName} subscription, we will restore your plan with {num1}GB Foxit PDF Editor Cloud Storage limit.";"由于您的{productName}订阅已到期，我们将恢复您的计划，云存储限额为{num1}GB。";"";""
