"PSLCODE 1250";"9 1";"4 2";"Source Access Key";"Target Access Key"
"00F17C09/360/0";" Default Display Settings ";"默认显示设置";;
"00F17C09/315/0";"&Background Color:";"背景色(&B)：";"B";"B"
"00F17C09/317/0";"&Lighting Scheme:";"光源方案(&L)：";"L";"L"
"00F17C09/319/0";"&Rendering Style:";"渲染类型(&R)：";"R";"R"
"00F17C09/321/0";"Animation St&yle:";"动画类型(&Y)：";"Y";"Y"
"00F17C09/361/0";"Navigation";"导航";;
"00F17C09/367/0";"Add &Default Views:";"添加默认视图(&D)：";"D";"D"
"00F17C09/324/0";"R&etain views, comments and scripts";"保留视图、注释和脚本(&E)";"E";"E"
"00F17C09/325/0";"Show &toolbar";"显示工具栏(&T)";"T";"T"
"00F17C09/326/0";"Open &model tree";"打开模型树(&M)";"M";"M"
"00F17C09/362/0";"Script";"脚本";;
"00F17C09/329/0";"Brow&se...";"浏览(&S)...";"S";"S"
"00F17C09/330/0";"&Clear";"清空(&C)";"C";"C"
"00F17C09/12/0";"Spelling";"拼写检查";;
"00F17C09/13/0";"&Enable check spelling";"启用拼写检查(&E)";"E";"E"
"00F17C09/215/0";"Dictionaries for Spell Check";"拼写检查字典";;
"00F17C09/217/0";"&Add...";"添加(&A)...";"A";"A"
"00F17C09/218/0";"&Remove";"移除(&R)";"R";"R"
"00F17C09/219/0";"Move &Up";"上移(&U)";"U";"U"
"00F17C09/220/0";"Move &Down";"下移(&D)";"D";"D"
"00F17C09/222/0";"W";"W";;
"00F17C09/224/0";"Select the dictionaries to use for spell check from this list. Click Up or Down to set the dictionary search order.";"从列表中选择用于拼写检查的字典。点击“上移”或者“下移”设置字典搜索的顺序。";;
"00F17C09/94/0";"Place on Multiple Pages";"放置到多个页面";;
"00F17C09/364/0";"Page Range";"页面范围";;
"00F17C09/96/0";"&All pages";"所有页面(&A)";"A";"A"
"00F17C09/97/0";"&From:";"从(&F)：";"F";"F"
"00F17C09/184/0";"zhanwei1";"zhanwei1";;
"00F17C09/101/0";"&To:";"到(&T)：";"T";"T"
"00F17C09/185/0";"zhanwei2";"zhanwei2";;
"00F17C09/99/0";"&OK";"确定(&O)";"O";"O"
"00F17C09/100/0";"&Cancel";"取消(&C)";"C";"C"
"00F17C09/106/0";"Add an Action";"添加动作";;
"00F17C09/107/0";"&Select Trigger:";"选择触发方式(&S)：";"S";"S"
"00F17C09/109/0";"Select Actio&n:";"选择动作(&N)：";"N";"N"
"00F17C09/111/0";"&Add...";"添加(&A)...";"A";"A"
"00F17C09/112/0";"Actions";"动作";;
"00F17C09/113/0";"Tree1";"Tree1";;
"00F17C09/114/0";"&Up";"上移(&U)";"U";"U"
"00F17C09/115/0";"Do&wn";"下移(&W)";"W";"W"
"00F17C09/116/0";"&Edit";"编辑(&E)";"E";"E"
"00F17C09/117/0";"&Delete";"删除(&D)";"D";"D"
"00F17C09/120/0";"Layout Grid";"设计网格";;
"00F17C09/121/0";"&Width between lines:";"线条之间的宽度(&W)：";"W";"W"
"00F17C09/123/0";"Spin1";"Spin1";;
"00F17C09/124/0";"inch";"英寸";;
"00F17C09/125/0";"&Height between lines:";"线条之间的高度(&H)：";"H";"H"
"00F17C09/127/0";"Spin1";"Spin1";;
"00F17C09/128/0";"inch";"英寸";;
"00F17C09/129/0";"Grid offset from &left edge:";"网格离左边界的偏移(&L)：";"L";"L"
"00F17C09/131/0";"Spin1";"Spin1";;
"00F17C09/132/0";"inch";"英寸";;
"00F17C09/133/0";"Grid offset from &top edge:";"网格离上边界的偏移(&T)：";"T";"T"
"00F17C09/135/0";"Spin1";"Spin1";;
"00F17C09/136/0";"inch";"英寸";;
"00F17C09/137/0";"&Subdivisions:";"细分(&S)：";"S";"S"
"00F17C09/139/0";"Spin1";"Spin1";;
"00F17C09/140/0";"G&rid line color:";"网格线的颜色(&R)：";"R";"R"
"00F17C09/424/0";"Snap Settings";"对齐设置";;
"00F17C09/425/0";"Snap to the &nearest point on the path";"对齐路径的附近点(&N)";"N";"N"
"00F17C09/426/0";"Snap to the &endpoint";"对齐端点(&E)";"E";"E"
"00F17C09/427/0";"Snap to the &midpoint";"对齐中点(&M)";"M";"M"
"00F17C09/428/0";"Snap to &intersections";"对齐交点(&I)";"I";"I"
"00F17C09/398/0";"Go to a page in another document";"跳转至其他文档的页面";;
"00F17C09/400/0";"OK";"确定";;
"00F17C09/401/0";"Cancel";"取消";;
"00F17C09/402/0";"Use Page &Number";"使用页码(&N)";"N";"N"
"00F17C09/403/0";"Use Named &Destination";"使用命名位置(&D)";"D";"D"
"00F17C09/405/0";"&Keep page number unchanged";"保持页码不变(&K)";"K";"K"
"00F17C09/407/0";"B&rowse...";"浏览(&R)...";"R";"R"
"00F17C09/408/0";"&Page:";"页面(&P)：";"P";"P"
"00F17C09/409/0";"Z&oom:";"缩放(&O)：";"O";"O"
"00F17C09/410/0";"0";"0";;
"00F17C09/411/0";"Name:";"名称：";;
"00F17C09/412/0";"Options";"选项";;
"00F17C09/413/0";"Not specified";"未指定";;
"00F17C09/414/0";"of";"/";;
"00F17C09/415/0";"Target Document";"目标文档";;
"00F17C09/416/0";"Browse...";"浏览...";;
"00F17C09/417/0";"File: ";"文件：";;
"00F17C09/419/0";"Open in: ";"打开于：";;
"00F17C09/15/0";"Varies\nGo to a page view\nOpen/execute a file\nOpen a web link\nShow/hide a field\nExecute a menu item\nSubmit a form\nReset a form\nImport form data\nRun a JavaScript\nRead an article\nSet Layer Visibility\ngo to page in another document\ngo to page in embedded document";"不一致\n跳转到页面视图\n打开/执行一个文件\n打开一个网络链接\n显示/隐藏一个表单域\n执行一个菜单项\n提交表单\n重置表单\n导入表单数据\n运行一段JavaScript脚本\n读文章\n设置图层可见性\n跳转至其他文档的页面\n跳转至嵌入文档的页面";;
"00F17C09/26/0";"Hide field: %s";"隐藏域：%s";;
"00F17C09/25/0";"Show field: %s";"显示域：%s";;
"00F17C09/16/0";"Document: this document\nPage No: %d%[1]\nZoom level: %s%[2]";"文档：当前文档\n页码：%d%[1]\n缩放比例：%s%[2]";;
"00F17C09/17/0";"Document: %s%[1]\nPage No: %d%[2]\nZoom level: %s%[3] ";"文档：%s%[1]\n页码：%d%[2]\n缩放比例：%s%[3] ";;
"00F17C09/63/0";"Document: %s%[1]\nDestination name: %s%[2] ";"文档：%s%[1]\n目标名称：%s%[2] ";;
"00F17C09/18/0";"File: %s";"文件：%s";;
"00F17C09/24/0";"Menu: %s";"菜单：%s";;
"00F17C09/56/0";"Actions";"动作";;
"00F17C09/14/0";"Mouse Up\nMouse Down\nMouse Enter\nMouse Exit\nPage Visible\nPage Invisible\nPage Open\nPage Close\nOn Receiving Focus\nOn Losing Focus";"鼠标松开\n鼠标按下\n鼠标进入\n鼠标移开\n页面可视\n页面隐藏\n页面打开\n页面关闭\n得到焦点\n失去焦点";;
"00F17C09/19/0";"URL: %s";"链接：%s";;
"00F17C09/68/0";"Fit Visible";"适合视区";;
"00F17C09/22/0";"Fit Width";"适合宽度";;
"00F17C09/21/0";"Fit Page";"适合页面";;
"00F17C09/23/0";"Fit Height";"适合高度";;
"00F17C09/20/0";"Custom";"自定义";;
"00F17C09/194/0";"%s%[1]>%s%[2]>%s%[3]";"%s%[1]>%s%[2]>%s%[3]";;
"00F17C09/54/0";"Annotation Properties";"标注属性";;
"00F17C09/62/0";"This operation may run slowly due to limited available memory. \n Close other programs, if possible, to free up available memory. Would you like to continue?";"由于可用内存有限，这些操作运行可能会非常慢。\n如果可能的话，请关闭其它应用程序以释放更多可用内存。您想要继续吗？";;
"00F17C09/198/0";"Tool Settings";"工具设置";;
"00F17C09/191/0";"Dash Type";"虚线样式";;
"00F17C09/91/0";"Odd Pages";"奇数页";;
"00F17C09/181/0";"PDF Attachment";"PDF附件";;
"00F17C09/79/0";"Select Annotation";"选择标注";;
"00F17C09/76/0";"Home";"主页";;
"00F17C09/77/0";"Tools";"工具";;
"00F17C09/80/0";"Edit";"编辑";;
"00F17C09/85/0";"Select annotations to view, edit, or delete";"选取标注，进行查看、编辑或者删除操作";;
"00F17C09/84/0";"Annotation Selection";"标注选择";;
"00F17C09/174/0";"Start of line";"线头";;
"00F17C09/47/0";"Add Action";"添加动作";;
"00F17C09/66/0";"Add Image Annotation";"创建图像标注";;
"00F17C09/36/0";"Align Bottom";"底部对齐";;
"00F17C09/38/0";"Align Horizontally";"水平对齐";;
"00F17C09/33/0";"Align Left";"左对齐";;
"00F17C09/34/0";"Align Right";"右对齐";;
"00F17C09/35/0";"Align Top";"顶端对齐";;
"00F17C09/37/0";"Align Vertically";"垂直对齐";;
"00F17C09/65/0";"Apply to &Other Pages";"应用到其它页面";;
"00F17C09/43/0";"Center Both";"垂直和水平居中";;
"00F17C09/42/0";"Center Horizontally";"水平居中";;
"00F17C09/41/0";"Center Vertically";"垂直居中";;
"00F17C09/29/0";"Change";"更改：";;
"00F17C09/31/0";"Cut";"剪切";;
"00F17C09/49/0";"Delete Action";"删除动作";;
"00F17C09/27/0";"Delete";"删除";;
"00F17C09/40/0";"Distribute Horizontally";"水平分布";;
"00F17C09/39/0";"Distribute Vertically";"垂直分布";;
"00F17C09/48/0";"Edit Action";"编辑动作";;
"00F17C09/30/0";"Lock";"锁定";;
"00F17C09/28/0";"Move";"移动";;
"00F17C09/51/0";"Move Down Action";"下移动作";;
"00F17C09/50/0";"Move Up Action";"上移动作";;
"00F17C09/32/0";"Paste";"粘贴";;
"00F17C09/46/0";"Set Same Size";"设为相同大小";;
"00F17C09/45/0";"Set Same Height";"设为等高";;
"00F17C09/44/0";"Set Same Width";"设为等宽";;
"00F17C09/74/0";"cm";"厘米";;
"00F17C09/72/0";"inch";"英寸";;
"00F17C09/75/0";"picas";"派卡";;
"00F17C09/73/0";"pt";"点";;
"00F17C09/232/0";"The target layer state of the selected action will be set to the current state.";"所选动作的目标图层状态将设置为当前状态。";;
"00F17C09/233/0";"Expand Current Bookmark";"展开当前书签";;
"00F17C09/234/0";"Inherit Zoom";"承前缩放";;
"00F17C09/235/0";"Actual Size";"实际大小";;
"00F17C09/236/0";"Destination name: %s";"目标名称：%s";;
"00F17C09/238/0";"Select file...";"选择文件...";;
"00F17C09/239/0";"<No file selected>";"<未选择文件>";;
"00F17C09/369/0";"Launch Settings";"启动设置";;
"00F17C09/186/0";"Line Width";"线宽";;
"00F17C09/83/0";"&Right to Left";"从右至左(&R)";;
"00F17C09/82/0";"&Left to Right";"从左至右(&L)";;
"00F17C09/81/0";"&Writing Direction";"书写方向(&W)";;
"00F17C09/78/0";"Not enough memory to copy content. Please apply to each page individually.";"没有足够的内存进行内容复制。请单独针对每一页进行应用。";;
"00F17C09/193/0";"You have no permission to paste these objects.";"您没有粘贴这些对象的权限。";;
"00F17C09/176/0";"Shape Style";"形状类型";;
"00F17C09/179/0";"Mixed\n0.10\n0.25\n0.75\n1.00\n1.50\n2.00\n2.50\n3.00\n4.00\n5.00\n6.00\n8.00\nLine Width Settings";"混合\n0.10\n0.25\n0.75\n1.00\n1.50\n2.00\n2.50\n3.00\n4.00\n5.00\n6.00\n8.00\n线宽设置";;
"00F17C09/195/0";"This file includes 3D PDF content. To enable 3D PDF viewing, click on Help > Plug-in Management, find the U3DBrowser plugin, and click on the icon on the right side to turn it on. Then, restart the application to apply this change. ";"该文件包含3D PDF内容。如想要启用3D PDF查看，请点击帮助->插件管理，找到U3DBrowser插件后，点击右侧的图标进行启用。然后重启程序以应用更改。";;
"00F17C09/225/0";"3D PDF content found";"发现3D PDF内容";;
"00F17C09/175/0";"End of line";"线尾";;
"00F17C09/92/0";"Even Pages";"偶数页";;
"00F17C09/177/0";"Change Comment Style";"更改注释样式";;
"00F17C09/188/0";"Change the style of Comments";"更改注释样式";;
"00F17C09/93/0";"No pages are selected!";"未选择任何页面！";;
"00F17C09/90/0";"Odd and Even Pages";"所有页面";;
"00F17C09/190/0";"Set the thickness of selected items";"设置选择项目的线宽";;
"00F17C09/70/0";"Gri&d";"网格(&R)";;
"00F17C09/71/0";"S&nap to Grid";"对齐网格(&N)";;
"00F17C09/58/0";"&Copy";"复制(&C)";;
"00F17C09/57/0";"Cu&t";"剪切(&T)";;
"00F17C09/60/0";"&Delete";"删除(&D)";;
"00F17C09/59/0";"&Paste";"粘贴(&P)";;
"00F17C09/61/0";"&Select All";"全选(&S)";;
"00F17C09/67/0";"Spelling";"拼写检查";;
"00F17C09/69/0";"Layout Grid";"设计网格";;
"00F17C09/86/0";"Grid";"网格";;
"00F17C09/87/0";"Show or hide grid";"显示或者隐藏网格";;
"00F17C09/88/0";"Snap to Grid";"对齐网格";;
"00F17C09/89/0";"Enable or disable snap to grid";"启用或者停用对齐到网格";;
"00F17C09/187/0";"Arrange";"排列";;
"00F17C09/180/0";"Comment Format";"注释格式";;
"00F17C09/192/0";"Choose the dash type of selected items";"为选择的项目设置虚线样式";;
"00F17C09/206/0";"English (United States)";"英语(美国)";;
"00F17C09/214/0";"English (United Kingdom)";"英语（英国）";;
"00F17C09/204/0";"English (Canada)";"英语（加拿大）";;
"00F17C09/212/0";"Dutch (Netherlands)";"荷兰语(荷兰)";;
"00F17C09/208/0";"French (France)";"法语（法国）";;
"00F17C09/207/0";"German (Germany)";"德语（德国）";;
"00F17C09/213/0";"Italian (Italy)";"意大利语（意大利）";;
"00F17C09/211/0";"Portuguese (Brazil)";"葡萄牙语（巴西）";;
"00F17C09/210/0";"Russian (Russia)";"俄语（俄罗斯）";;
"00F17C09/209/0";"Spanish (Spain)";"西班牙语（西班牙）";;
"00F17C09/55/0";"File not found. Check if the file was moved, renamed, or deleted.";"未找到文件。请检查是否该文件已经被移动，重命名或者被移除。";;
"00F17C09/205/0";"Select";"选择";;
"00F17C09/196/0";"Keep Tool Selected";"保持工具选择";;
"00F17C09/197/0";"If checked, selected commenting tools can be used continuously after each use";"如果选取，则您所使用的注释工具在每次使用结束后可维持状态不变";;
"00F17C09/189/0";"Line Width";"线宽";;
"00F17C09/241/0";"3D";"3D";;
"00F17C09/242/0";"Lighting from file";"文件光源";;
"00F17C09/243/0";"No Lights";"无光源";;
"00F17C09/244/0";"White Lights";"白光";;
"00F17C09/245/0";"Day Lights";"日光";;
"00F17C09/246/0";"Hard Lights";"强光";;
"00F17C09/247/0";"Primary Lights";"基色光";;
"00F17C09/248/0";"Night Lights";"夜光";;
"00F17C09/249/0";"Blue Lights";"蓝光";;
"00F17C09/250/0";"Red Lights";"红光";;
"00F17C09/251/0";"Cube Lights";"立体光";;
"00F17C09/252/0";"CAD Lights";"CAD光源";;
"00F17C09/253/0";"Headlamp";"头灯";;
"00F17C09/254/0";"Bounding Box";"边界框";;
"00F17C09/255/0";"Transparent Bounding Box";"透明边界框";;
"00F17C09/256/0";"Transparent Bounding Box Outline";"透明边界框轮廓";;
"00F17C09/257/0";"Vertices";"顶点";;
"00F17C09/258/0";"Shaded Vertices";"着色顶点";;
"00F17C09/259/0";"Wireframe";"线框";;
"00F17C09/260/0";"Solid";"实线";;
"00F17C09/261/0";"Transparent";"透明";;
"00F17C09/262/0";"Solid Wireframe";"实体线框";;
"00F17C09/263/0";"Transparent Wireframe";"透明线框";;
"00F17C09/264/0";"Illustration";"插图";;
"00F17C09/265/0";"Solid Outline";"实体轮廓";;
"00F17C09/266/0";"Shaded Illustration";"着色插图";;
"00F17C09/267/0";"Hidden Wireframe";"隐藏线框";;
"00F17C09/268/0";"None";"无";;
"00F17C09/269/0";"Loop";"循环";;
"00F17C09/270/0";"Bounce";"反弹";;
"00F17C09/271/0";"No Views";"无视图";;
"00F17C09/272/0";"Left, Top, Front, Iso (all ortho)";"左视图，俯视图，前视图，等轴侧视图（全部正交）";;
"00F17C09/273/0";"Left, Top, Front, Iso (all perspective)";"左视图，俯视图，前视图，等轴侧视图（全部透视）";;
"00F17C09/274/0";"Left, Top, Front, (ortho) Iso (perspective)";"左视图，俯视图，前视图，（正交）等轴侧视图（透视）";;
"00F17C09/275/0";"Left, Top, Front, (perspective) Iso (ortho)";"左视图，俯视图，前视图，（透视）等轴侧视图（正交）";;
"00F17C09/276/0";"Left, Top, Front, Right, Bottom, Back (all ortho)";"左视图，俯视图，前视图，右视图，仰视图，后视图（透视）";;
"00F17C09/277/0";"Views from File";"文件视图";;
"00F17C09/278/0";"3D Files (*.u3d;*.prc)|*.u3d; *.prc|All Files (*.*)|*.*||";"3D文件(*.u3d;*.prc)|*.u3d; *.prc|全部文件(*.*)|*.*||";;
"00F17C09/279/0";"JavaScript files (*.js)|*.js|All Files (*.*)|*.*||";"JavaScript文件 (*.js)|*.js|全部文件 (*.*)|*.*||";;
"00F17C09/280/0";"Add 3D";"添加3D";;
"00F17C09/281/0";"Add 3D object";"添加3D对象";;
"00F17C09/282/0";"No media file has been specified. Please select one and try again.";"没有指定媒体文件。\n请选择一个，然后重试。";;
"00F17C09/283/0";"Shaded Wireframe";"着色线框";;
"00F17C09/284/0";"%s%[1] could not open '%s%[2]' because it is either not a supported file type or because the file has been damaged.";"%s%[1]不能打开“%s%[2]”，因为它不是受支持的文件类型，或者该文件已损坏。";;
"00F17C09/285/0";"The content is clicked";"内容被点击时";;
"00F17C09/286/0";"The page containing the content is opened";"包含内容的页面被打开时";;
"00F17C09/287/0";"The page containing the content is visible";"包含内容的页面可见时";;
"00F17C09/288/0";"'Disable Content' is selected from the context menu";"已在右键菜单中选择了“停用内容”";;
"00F17C09/301/0";"The value must be between 0 and 2147483648.";"数值必须介于0到2147483648之间。";;
"00F17C09/370/0";"Select an area on the page and add a U3D or PRC 3D object there.";"在页面上选择一个区域，然后在其中添加U3D或PRC 3D对象。";;
"00F17C09/372/0";"Edit 3D";"编辑3D";;
"00F17C09/373/0";"Left";"左视图";;
"00F17C09/374/0";"Top";"俯视图";;
"00F17C09/375/0";"Front";"前视图";;
"00F17C09/376/0";"Right";"右视图";;
"00F17C09/377/0";"Bottom";"仰视图";;
"00F17C09/378/0";"Back";"后视图";;
"00F17C09/379/0";"Isometric";"等轴侧视图";;
"00F17C09/380/0";"Default";"默认";;
"00F17C09/422/0";"Window set by user preference\nNew Window\nExisting Windows";"用户偏好设置设定的窗口\n新建窗口\n现有窗口";;
"00F17C09/289/0";"The page containing the content is closed";"包含内容的页面被关闭时";;
"00F17C09/290/0";"The page containing the content is not visible";"包含内容的页面不可见时";;
"00F17C09/291/0";"Play content on page";"在页面上播放内容";;
"00F17C09/292/0";"Play content in floating window";"在浮动窗口中播放内容";;
"00F17C09/293/0";"No border";"无边框";;
"00F17C09/294/0";"Thin";"细";;
"00F17C09/295/0";"Medium";"中";;
"00F17C09/296/0";"Thick";"粗";;
"00F17C09/297/0";"Select poster art";"选择海报";;
"00F17C09/298/0";"Select a file";"选择文件：";;
"00F17C09/299/0";"Select a default script";"选择默认脚本";;
"00F17C09/300/0";"All Supported Formats (*.pdf,*.bmp,*.rle,*.dib,*.gif,*.jpg,*.jpeg,*.jpe,*.JPEG,*.png)|*.pdf;*.bmp;*.rl;*.dib;*.gif;*.jpg;*.jpeg;*.jpe;*.JPEG;*.png|PDF Files (*.pdf)|*.pdf|BMP (*.bmp,*.rle,*.dib)|*.bmp;*.rle;*.dib|Compuserve Gif (*.gif)|*.gif|JPEG (*.jpg,*.jpeg,*.jpg,*.JPEG)|*.jpg;*.jpeg;*.jpg;*.JPEG|PNG (*.png)|*.png||";"所有可支持的格式(*.pdf,*.bmp,*.rle,*.dib,*.gif,*.jpg,*.jpeg,*.jpe,*.JPEG,*.png)|*.pdf;*.bmp;*.rl;*.dib;*.gif;*.jpg;*.jpeg;*.jpe;*.JPEG;*.png|PDF文件(*.pdf)|*.pdf|BMP (*.bmp,*.rle,*.dib)|*.bmp;*.rle;*.dib|Compuserve Gif (*.gif)|*.gif|JPEG (*.jpg,*.jpeg,*.jpg,*.JPEG)|*.jpg;*.jpeg;*.jpg;*.JPEG|PNG (*.png)|*.png||";;
"00F17C09/394/0";"Edit";"编辑";;
"00F17C09/421/0";"You do not have '%s%[1]' access rights. Please contact your IT Administrator to gain access.";"您没有“%s%[1]”的访问权限。请联系您的IT管理员获取权限。";;
"00F17C09/423/0";"Grid&&Snap ";"网格&&对齐 ";;
"00F17C09/429/0";"Favorite Toolbox";"常用工具箱";;
"00F17C09/430/0";"Enlarge the size of toolbox";"加大工具箱的尺寸";;
"00F17C09/431/0";"Reduce the size of toolbox";"缩小工具箱的尺寸";;
"00F17C09/432/0";"Fa&vorite Toolbox";"常用工具箱(&V)";;
"00F17C09/433/0";"&Pin to Top";"置顶(&P)";;
"00F17C09/143/0";"Propert&ies...";"属性(&I)...";"I";"I"
"00F17C09/145/0";"Cu&t\tCtrl+X";"剪切(&T)\tCtrl+X";"T";"T"
"00F17C09/146/0";"&Copy\tCtrl+C";"复制(&C)\tCtrl+C";"C";"C"
"00F17C09/147/0";"Pa&ste\tCtrl+V";"粘贴(&R)\tCtrl+V";"S";"R"
"00F17C09/149/0";"&Delete";"删除(&D)";"D";"D"
"00F17C09/151/0";"A&lign";"对齐(&L)";"L";"L"
"00F17C09/152/0";"&Left";"左对齐(&L)";"L";"L"
"00F17C09/153/0";"&Right";"右对齐(&R)";"R";"R"
"00F17C09/154/0";"&Top";"顶部对齐(&T)";"T";"T"
"00F17C09/155/0";"&Bottom";"底部对齐(&B)";"B";"B"
"00F17C09/157/0";"&Vertically";"垂直对齐(&V)";"V";"V"
"00F17C09/158/0";"&Horizontally";"水平对齐(&H)";"H";"H"
"00F17C09/159/0";"Ce&nter";"居中(&N)";"N";"N"
"00F17C09/160/0";"&Vertically";"垂直居中(&V)";"V";"V"
"00F17C09/161/0";"&Horizontally";"水平居中(&H)";"H";"H"
"00F17C09/162/0";"&Both";"垂直且水平居中(&B)";"B";"B"
"00F17C09/163/0";"Distri&bute";"分布(&B)";"B";"B"
"00F17C09/164/0";"&Vertically";"垂直分布(&V)";"V";"V"
"00F17C09/165/0";"&Horizontally";"水平分布(&H)";"H";"H"
"00F17C09/166/0";"Si&ze";"调整大小(&Z)";"Z";"Z"
"00F17C09/167/0";"&Height";"设置等高(&H)";"H";"H"
"00F17C09/168/0";"&Width";"设置等宽(&W)";"W";"W"
"00F17C09/169/0";"&Both";"等高且等宽(&B)";"B";"B"
"00F17C09/170/0";"Place on Multiple Pages...";"放置到多个页面...";;
